alert_id,severidade,equipamento_id,sensor_tipo,sensor_id,desvio,unidade,baseline,valor_atual,janela_horas,timestamp,resumo_referencia
ALT-0001,leve,Motor MT-042,temperatura_enrolamento,TMP-042-1,8.0,°C,72.0,80.0,1,2026-08-18T06:00:00-03:00,Foi observado um desvio leve no Motor MT-042: temperatura dos enrolamentos ficou +8°C acima da referência durante 1 horas. Manter o acompanhamento e conferir o item na próxima ronda.
ALT-0002,moderado,Motor MT-017,vibracao_mancal,VIB-043-2,2.3, mm/s RMS,2.2,4.5,3,2026-08-18T10:00:00-03:00,Foi identificado um alerta moderado no Motor MT-017: vibração do mancal ficou +2.3 mm/s RMS acima da referência durante 3 horas. Realizar inspeção direcionada e verificar a tendência antes de elevar a carga.
ALT-0003,critico,Motor MT-105,corrente_fase,CUR-044-1,62.0, A,390.0,452.0,6,2026-08-18T14:00:00-03:00,Foi identificado um alerta crítico no Motor MT-105: corrente de fase ficou +62 A acima da referência durante 6 horas. Priorizar uma parada segura e uma inspeção imediata antes de reenergizar.
ALT-0004,leve,Motor MT-042,resistencia_isolamento,ISO-042-2,-9.0, MΩ,30.0,21.0,1,2026-08-18T18:00:00-03:00,Foi observado um desvio leve no Motor MT-042: resistência de isolamento ficou -9 MΩ abaixo da referência durante 1 horas. Manter o acompanhamento e conferir o item na próxima ronda.
ALT-0005,moderado,Motor MT-017,pressao_oleo,PRS-043-1,-1.6, bar,3.5,1.9,3,2026-08-18T22:00:00-03:00,Foi identificado um alerta moderado no Motor MT-017: pressão de óleo ficou -1.6 bar abaixo da referência durante 3 horas. Realizar inspeção direcionada e verificar a tendência antes de elevar a carga.
ALT-0006,critico,Motor MT-105,temperatura_enrolamento,TMP-044-2,26.0,°C,72.0,98.0,6,2026-08-19T02:00:00-03:00,Foi identificado um alerta crítico no Motor MT-105: temperatura dos enrolamentos ficou +26°C acima da referência durante 6 horas. Priorizar uma parada segura e uma inspeção imediata antes de reenergizar.
ALT-0007,leve,Motor MT-042,vibracao_mancal,VIB-042-1,1.3, mm/s RMS,2.2,3.5,1,2026-08-19T06:00:00-03:00,Foi observado um desvio leve no Motor MT-042: vibração do mancal ficou +1.3 mm/s RMS acima da referência durante 1 horas. Manter o acompanhamento e conferir o item na próxima ronda.
ALT-0008,moderado,Motor MT-017,corrente_fase,CUR-043-2,28.0, A,390.0,418.0,3,2026-08-19T10:00:00-03:00,Foi identificado um alerta moderado no Motor MT-017: corrente de fase ficou +28 A acima da referência durante 3 horas. Realizar inspeção direcionada e verificar a tendência antes de elevar a carga.
ALT-0009,critico,Motor MT-105,resistencia_isolamento,ISO-044-1,-24.0, MΩ,30.0,6.0,6,2026-08-19T14:00:00-03:00,Foi identificado um alerta crítico no Motor MT-105: resistência de isolamento ficou -24 MΩ abaixo da referência durante 6 horas. Priorizar uma parada segura e uma inspeção imediata antes de reenergizar.
ALT-0010,leve,Motor MT-042,pressao_oleo,PRS-042-2,-0.8, bar,3.5,2.7,1,2026-08-19T18:00:00-03:00,Foi observado um desvio leve no Motor MT-042: pressão de óleo ficou -0.8 bar abaixo da referência durante 1 horas. Manter o acompanhamento e conferir o item na próxima ronda.
ALT-0011,moderado,Motor MT-017,temperatura_enrolamento,TMP-043-1,14.0,°C,72.0,86.0,3,2026-08-19T22:00:00-03:00,Foi identificado um alerta moderado no Motor MT-017: temperatura dos enrolamentos ficou +14°C acima da referência durante 3 horas. Realizar inspeção direcionada e verificar a tendência antes de elevar a carga.
ALT-0012,critico,Motor MT-105,vibracao_mancal,VIB-044-2,3.7, mm/s RMS,2.2,5.9,6,2026-08-20T02:00:00-03:00,Foi identificado um alerta crítico no Motor MT-105: vibração do mancal ficou +3.7 mm/s RMS acima da referência durante 6 horas. Priorizar uma parada segura e uma inspeção imediata antes de reenergizar.
ALT-0013,leve,Motor MT-042,corrente_fase,CUR-042-1,18.0, A,390.0,408.0,1,2026-08-20T06:00:00-03:00,Foi observado um desvio leve no Motor MT-042: corrente de fase ficou +18 A acima da referência durante 1 horas. Manter o acompanhamento e conferir o item na próxima ronda.
ALT-0014,moderado,Motor MT-017,resistencia_isolamento,ISO-043-2,-16.0, MΩ,30.0,14.0,3,2026-08-20T10:00:00-03:00,Foi identificado um alerta moderado no Motor MT-017: resistência de isolamento ficou -16 MΩ abaixo da referência durante 3 horas. Realizar inspeção direcionada e verificar a tendência antes de elevar a carga.
ALT-0015,critico,Motor MT-105,pressao_oleo,PRS-044-1,-2.2, bar,3.5,1.3,6,2026-08-20T14:00:00-03:00,Foi identificado um alerta crítico no Motor MT-105: pressão de óleo ficou -2.2 bar abaixo da referência durante 6 horas. Priorizar uma parada segura e uma inspeção imediata antes de reenergizar.
ALT-0016,leve,Motor MT-042,temperatura_enrolamento,TMP-042-2,9.0,°C,72.0,81.0,1,2026-08-20T18:00:00-03:00,Foi observado um desvio leve no Motor MT-042: temperatura dos enrolamentos ficou +9°C acima da referência durante 1 horas. Manter o acompanhamento e conferir o item na próxima ronda.
ALT-0017,moderado,Motor MT-017,vibracao_mancal,VIB-043-1,-2.0, mm/s RMS,2.2,0.2,3,2026-08-20T22:00:00-03:00,Foi identificado um alerta moderado no Motor MT-017: vibração do mancal ficou -2 mm/s RMS abaixo da referência durante 3 horas. Realizar inspeção direcionada e verificar a tendência antes de elevar a carga.
ALT-0018,critico,Motor MT-105,corrente_fase,CUR-044-2,52.0, A,390.0,442.0,6,2026-08-21T02:00:00-03:00,Foi identificado um alerta crítico no Motor MT-105: corrente de fase ficou +52 A acima da referência durante 6 horas. Priorizar uma parada segura e uma inspeção imediata antes de reenergizar.
ALT-0019,leve,Motor MT-042,resistencia_isolamento,ISO-042-1,-6.0, MΩ,30.0,24.0,1,2026-08-21T06:00:00-03:00,Foi observado um desvio leve no Motor MT-042: resistência de isolamento ficou -6 MΩ abaixo da referência durante 1 horas. Manter o acompanhamento e conferir o item na próxima ronda.
ALT-0020,moderado,Motor MT-017,pressao_oleo,PRS-043-2,-1.8, bar,3.5,1.7,3,2026-08-21T10:00:00-03:00,Foi identificado um alerta moderado no Motor MT-017: pressão de óleo ficou -1.8 bar abaixo da referência durante 3 horas. Realizar inspeção direcionada e verificar a tendência antes de elevar a carga.
