alert_id,severidade,equipamento_id,sensor_tipo,sensor_id,desvio,unidade,baseline,valor_atual,janela_horas,timestamp,resumo_referencia,resumo_gerado
ALT-0001,leve,Motor MT-042,temperatura_enrolamento,TMP-042-1,8.0,°C,72.0,80.0,1,2026-08-18T06:00:00-03:00,Foi observado um desvio leve no Motor MT-042: temperatura dos enrolamentos ficou +8°C acima da referência durante 1 horas. Manter o acompanhamento e conferir o item na próxima ronda.,"Atenção: desvio leve no Motor MT-042. A temperatura do enrolamento variou +8°C acima do baseline nas últimas 1 horas, com registro em 18/08/2026 às 06:00. Acompanhar a tendência e confirmar a ventilação do motor na próxima ronda. [Fonte: alerta ALT-0001; sensor TMP-042-1]"
ALT-0002,moderado,Motor MT-017,vibracao_mancal,VIB-043-2,2.3, mm/s RMS,2.2,4.5,3,2026-08-18T10:00:00-03:00,Foi identificado um alerta moderado no Motor MT-017: vibração do mancal ficou +2.3 mm/s RMS acima da referência durante 3 horas. Realizar inspeção direcionada e verificar a tendência antes de elevar a carga.,"Alerta moderado detectado no Motor MT-017. A vibração do mancal apresentou desvio de +2.3 mm/s RMS acima do baseline nas últimas 3 horas, com registro em 18/08/2026 às 10:00. Recomenda-se inspecionar alinhamento, fixações e condição dos mancais. [Fonte: alerta ALT-0002; sensor VIB-043-2]"
ALT-0003,critico,Motor MT-105,corrente_fase,CUR-044-1,62.0, A,390.0,452.0,6,2026-08-18T14:00:00-03:00,Foi identificado um alerta crítico no Motor MT-105: corrente de fase ficou +62 A acima da referência durante 6 horas. Priorizar uma parada segura e uma inspeção imediata antes de reenergizar.,"ALERTA CRÍTICO no Motor MT-105: a corrente de fase atingiu desvio de +62 A acima do baseline nas últimas 6 horas (18/08/2026 às 14:00). Há risco de dano ou indisponibilidade. Isolar o equipamento conforme procedimento e inspecionar alimentação, conexões e proteção contra sobrecorrente. [Fonte: alerta ALT-0003; sensor CUR-044-1]"
ALT-0004,leve,Motor MT-042,resistencia_isolamento,ISO-042-2,-9.0, MΩ,30.0,21.0,1,2026-08-18T18:00:00-03:00,Foi observado um desvio leve no Motor MT-042: resistência de isolamento ficou -9 MΩ abaixo da referência durante 1 horas. Manter o acompanhamento e conferir o item na próxima ronda.,"Atenção: desvio leve no Motor MT-042. A resistência de isolamento variou -9 MΩ abaixo do baseline nas últimas 1 horas, com registro em 18/08/2026 às 18:00. Programar nova medição de isolamento e acompanhar a tendência. [Fonte: alerta ALT-0004; sensor ISO-042-2]"
ALT-0005,moderado,Motor MT-017,pressao_oleo,PRS-043-1,-1.6, bar,3.5,1.9,3,2026-08-18T22:00:00-03:00,Foi identificado um alerta moderado no Motor MT-017: pressão de óleo ficou -1.6 bar abaixo da referência durante 3 horas. Realizar inspeção direcionada e verificar a tendência antes de elevar a carga.,"Alerta moderado detectado no Motor MT-017. A pressão do óleo apresentou desvio de -1.6 bar abaixo do baseline nas últimas 3 horas, com registro em 18/08/2026 às 22:00. Recomenda-se verificar nível, vazamentos e circuito de lubrificação. [Fonte: alerta ALT-0005; sensor PRS-043-1]"
ALT-0006,critico,Motor MT-105,temperatura_enrolamento,TMP-044-2,26.0,°C,72.0,98.0,6,2026-08-19T02:00:00-03:00,Foi identificado um alerta crítico no Motor MT-105: temperatura dos enrolamentos ficou +26°C acima da referência durante 6 horas. Priorizar uma parada segura e uma inspeção imediata antes de reenergizar.,"ALERTA CRÍTICO no Motor MT-105: a temperatura do enrolamento atingiu desvio de +26°C acima do baseline nas últimas 6 horas (19/08/2026 às 02:00). Há risco de dano ou indisponibilidade. Reduzir a carga com segurança e inspecionar imediatamente refrigeração, enrolamentos e proteções térmicas. [Fonte: alerta ALT-0006; sensor TMP-044-2]"
ALT-0007,leve,Motor MT-042,vibracao_mancal,VIB-042-1,1.3, mm/s RMS,2.2,3.5,1,2026-08-19T06:00:00-03:00,Foi observado um desvio leve no Motor MT-042: vibração do mancal ficou +1.3 mm/s RMS acima da referência durante 1 horas. Manter o acompanhamento e conferir o item na próxima ronda.,"Atenção: desvio leve no Motor MT-042. A vibração do mancal variou +1.3 mm/s RMS acima do baseline nas últimas 1 horas, com registro em 19/08/2026 às 06:00. Acompanhar a tendência e verificar fixações na próxima inspeção. [Fonte: alerta ALT-0007; sensor VIB-042-1]"
ALT-0008,moderado,Motor MT-017,corrente_fase,CUR-043-2,28.0, A,390.0,418.0,3,2026-08-19T10:00:00-03:00,Foi identificado um alerta moderado no Motor MT-017: corrente de fase ficou +28 A acima da referência durante 3 horas. Realizar inspeção direcionada e verificar a tendência antes de elevar a carga.,"Alerta moderado detectado no Motor MT-017. A corrente de fase apresentou desvio de +28 A acima do baseline nas últimas 3 horas, com registro em 19/08/2026 às 10:00. Recomenda-se medir o desequilíbrio entre fases e revisar conexões elétricas. [Fonte: alerta ALT-0008; sensor CUR-043-2]"
ALT-0009,critico,Motor MT-105,resistencia_isolamento,ISO-044-1,-24.0, MΩ,30.0,6.0,6,2026-08-19T14:00:00-03:00,Foi identificado um alerta crítico no Motor MT-105: resistência de isolamento ficou -24 MΩ abaixo da referência durante 6 horas. Priorizar uma parada segura e uma inspeção imediata antes de reenergizar.,ALERTA CRÍTICO no Motor MT-105: a resistência de isolamento atingiu desvio de -24 MΩ abaixo do baseline nas últimas 6 horas (19/08/2026 às 14:00). Há risco de dano ou indisponibilidade. Não reenergizar antes da avaliação elétrica e do teste de isolamento conforme procedimento aplicável. [Fonte: alerta ALT-0009; sensor ISO-044-1]
ALT-0010,leve,Motor MT-042,pressao_oleo,PRS-042-2,-0.8, bar,3.5,2.7,1,2026-08-19T18:00:00-03:00,Foi observado um desvio leve no Motor MT-042: pressão de óleo ficou -0.8 bar abaixo da referência durante 1 horas. Manter o acompanhamento e conferir o item na próxima ronda.,"Atenção: desvio leve no Motor MT-042. A pressão do óleo variou -0.8 bar abaixo do baseline nas últimas 1 horas, com registro em 19/08/2026 às 18:00. Acompanhar a tendência e confirmar o nível do lubrificante. [Fonte: alerta ALT-0010; sensor PRS-042-2]"
ALT-0011,moderado,Motor MT-017,temperatura_enrolamento,TMP-043-1,14.0,°C,72.0,86.0,3,2026-08-19T22:00:00-03:00,Foi identificado um alerta moderado no Motor MT-017: temperatura dos enrolamentos ficou +14°C acima da referência durante 3 horas. Realizar inspeção direcionada e verificar a tendência antes de elevar a carga.,"Alerta moderado detectado no Motor MT-017. A temperatura do enrolamento apresentou desvio de +14°C acima do baseline nas últimas 3 horas, com registro em 19/08/2026 às 22:00. Recomenda-se verificar o sistema de refrigeração e a carga aplicada. [Fonte: alerta ALT-0011; sensor TMP-043-1]"
