event_id,texto,categoria
EVT-0045,medida resistência de isolamento na parada programada no conjunto principal.,manutenção preventiva
EVT-0100,queda de resistência de isolamento do enrolamento no Motor MT-042.,anomalia elétrica
EVT-0186,correntes equilibradas e temperatura normal registrado pelo operador.,operação normal
EVT-0125,indício de desbalanceamento no espectro durante o turno da manhã.,anomalia mecânica
EVT-0123,desalinhamento observado no acoplamento durante o turno da manhã.,anomalia mecânica
EVT-0164,equipamento disponível sem alarmes ativos registrado pelo operador.,operação normal
EVT-0010,corrigida conexão queimada no borne após análise de tendência.,manutenção corretiva
EVT-0171,partida concluída e parâmetros estabilizados no conjunto principal.,operação normal
EVT-0199,vibração sem alteração durante o turno no conjunto principal.,operação normal
EVT-0115,proteção de sobrecorrente atuou durante partida com ordem de serviço aberta.,anomalia elétrica
EVT-0004,corrigida conexão queimada no borne após análise de tendência.,manutenção corretiva
EVT-0052,alinhamento conferido na rotina preventiva registrado pelo operador.,manutenção preventiva
EVT-0016,corrigida conexão queimada no borne após análise de tendência.,manutenção corretiva
EVT-0165,partida concluída e parâmetros estabilizados no conjunto principal.,operação normal
EVT-0041,realizada inspeção preventiva semanal no conjunto principal.,manutenção preventiva
EVT-0087,corrente elevada e desequilíbrio entre fases com ordem de serviço aberta.,anomalia elétrica
EVT-0168,correntes equilibradas e temperatura normal registrado pelo operador.,operação normal
EVT-0022,corrigida conexão queimada no borne após análise de tendência.,manutenção corretiva
EVT-0105,corrente elevada e desequilíbrio entre fases com ordem de serviço aberta.,anomalia elétrica
EVT-0107,sobretensão intermitente registrada no painel com ordem de serviço aberta.,anomalia elétrica
EVT-0027,trocado ventilador danificado após parada durante o turno da manhã.,manutenção corretiva
EVT-0058,alinhamento conferido na rotina preventiva registrado pelo operador.,manutenção preventiva
EVT-0062,verificado torque das conexões conforme plano registrado pelo operador.,manutenção preventiva
EVT-0030,substituído sensor defeituoso após alarme após análise de tendência.,manutenção corretiva
EVT-0180,correntes equilibradas e temperatura normal registrado pelo operador.,operação normal
EVT-0162,correntes equilibradas e temperatura normal registrado pelo operador.,operação normal
EVT-0073,limpeza trimestral das entradas de ar no conjunto principal.,manutenção preventiva
EVT-0046,alinhamento conferido na rotina preventiva registrado pelo operador.,manutenção preventiva
EVT-0176,equipamento disponível sem alarmes ativos registrado pelo operador.,operação normal
EVT-0132,pressão de óleo baixa no sistema de lubrificação após análise de tendência.,anomalia mecânica
EVT-0106,queda de resistência de isolamento do enrolamento no Motor MT-042.,anomalia elétrica
EVT-0151,vibração elevada no mancal lado acoplado durante o turno da manhã.,anomalia mecânica
EVT-0067,limpeza trimestral das entradas de ar no conjunto principal.,manutenção preventiva
EVT-0096,borne aquecido com tensão desequilibrada no Motor MT-042.,anomalia elétrica
EVT-0029,executado reparo emergencial no acoplamento durante o turno da manhã.,manutenção corretiva
EVT-0024,substituído sensor defeituoso após alarme após análise de tendência.,manutenção corretiva
EVT-0079,limpeza trimestral das entradas de ar no conjunto principal.,manutenção preventiva
EVT-0080,verificado torque das conexões conforme plano registrado pelo operador.,manutenção preventiva
EVT-0013,substituído rolamento após falha confirmada durante o turno da manhã.,manutenção corretiva
EVT-0131,indício de desbalanceamento no espectro durante o turno da manhã.,anomalia mecânica
EVT-0085,proteção de sobrecorrente atuou durante partida com ordem de serviço aberta.,anomalia elétrica
EVT-0028,corrigida conexão queimada no borne após análise de tendência.,manutenção corretiva
EVT-0099,corrente elevada e desequilíbrio entre fases com ordem de serviço aberta.,anomalia elétrica
EVT-0197,motor operando estável dentro do baseline no conjunto principal.,operação normal
EVT-0144,pressão de óleo baixa no sistema de lubrificação após análise de tendência.,anomalia mecânica
EVT-0011,executado reparo emergencial no acoplamento durante o turno da manhã.,manutenção corretiva
EVT-0140,ruído metálico e aquecimento do rolamento após análise de tendência.,anomalia mecânica
EVT-0126,pressão de óleo baixa no sistema de lubrificação após análise de tendência.,anomalia mecânica
EVT-0043,limpeza trimestral das entradas de ar no conjunto principal.,manutenção preventiva
EVT-0051,medida resistência de isolamento na parada programada no conjunto principal.,manutenção preventiva
EVT-0113,sobretensão intermitente registrada no painel com ordem de serviço aberta.,anomalia elétrica
EVT-0112,queda de resistência de isolamento do enrolamento no Motor MT-042.,anomalia elétrica
EVT-0196,ronda sem desvios ou ruídos anormais registrado pelo operador.,operação normal
EVT-0122,ruído metálico e aquecimento do rolamento após análise de tendência.,anomalia mecânica
EVT-0005,executado reparo emergencial no acoplamento durante o turno da manhã.,manutenção corretiva
EVT-0053,realizada inspeção preventiva semanal no conjunto principal.,manutenção preventiva
EVT-0190,ronda sem desvios ou ruídos anormais registrado pelo operador.,operação normal
